Lat,Lon,Title,surname,name,birth,city birth,death,city death,gender
30.2540493,29.2675469,Egypt,Sabbagh,Georges,1877,Alexandria,1951,Paris,male
26.2540493,29.2675469,Egypt,Nagy,Mohamed,1888,Alexandria,1956,Alexandria,male
28.2540493,29.2675469,Egypt,Sabri,Ahmed,1889,Cairo,1955,Cairo,male
26.2540493,29.2675469,Egypt,Mokhtar,Mahmoud,1891,Tumbara,1934,Cairo,male
28.251,29.2675469,Egypt,Ayad,Ragheb,1892,Cairo,1982,Cairo,male
29.2540493,28.2675469,Egypt,Said,Mahmoud,1897,Alexandria,1964,Alexandria,male
33.8750629,35.843409,Lebanon,Gemayel,Cesar,1898,Ain Al Touffana,1958,Beirut,male
38.9597594,34.9249653,Turkey,Zeid,Fahrelnissa,1901,Istambul,1991,Amman,female
33.8750629,35.843409,Lebanon,Farroukh,Mustafa,1901,Beirut,1957,Beirut,male
33.8750629,35.843409,Lebanon,Onsi,Omar,1901,Beirut,1969,Beirut,male
26.2540493,29.2675469,Egypt,Wanly,Adham,1908,Alexandria,1959,Alexandria,male
36.3577313,43.0707695,Syria/Iraq,Omar,Madiha,1908,Aleppo,2005,New York,female
26.2540493,29.2675469,Egypt,Wanly,Seif,1909,Alexandria,1979,Alexandria,male
26.2240493,29.2275469,Egypt,Younan,Ramses,1913,Minieh,1966,Cairo,male
33.0955793,44.1749775,Iraq,Hassan ,Faik,1914,Baghdad,1992,Baghdad,male
33.0955793,44.1749775,Iraq,Droubi,Hafez Al,1914,Baghdad,1991,Baghdad,male
33.8750629,35.843409,Lebanon,Douaihy,Saliba,1915,Ehden,1994,Paris,male
33.8750629,35.843409,Lebanon,Choucair,Saloua Raouda,1916,Beirut,2017,Beirut,female
32.6475314,54.5643516,Iran,Pezeshknia,Houshang,1917,Tehran,1972,Tehran,male
33.8750629,35.843409,Lebanon,Wehbe,Rashid,1917,Beirut,1993,Beirut,male
26.2293,29.2269,Egypt,Abdalla,Hamed,1917,Cairo,1985,Paris,male
26.230493,29.2233,Egypt,Owais,Hamed,1919,Beni Soueif,2011,Cairo,male
33.0955793,44.1749775,Iraq,Salim,Jawad,1919,Mosul,1961,Baghdad,male
26.21393,29.2235469,Egypt,Halim ,Tahia,1919,Cairo,2003,Cairo,female
34.6361,39.01106,Syria,Chaura,Naseer,1920,Damascus,1992,Damascus,male
34.6261,39.0494106,Syria,Moudarres,Fateh Al,1922,Aleppo,1999,Aleppo,male
34.6221,39.0494106,Syria,Hammad,Mahmoud,1923,Damascus,1988,Damascus,male
26.2540493,29.2675469,Egypt,Nada,Hamad,1924,Cairo,1990,Cairo,male
26.2540493,29.2675469,Egypt,Eflaotoun,Inji,1924,Cairo,1989,Cairo,female
33.0955793,44.1749775,Iraq,Sheikly,Ismail Al,1924,Baghdad,2002,Baghdad,male
33.0955793,44.1749775,Iraq,Hammoudi,Jamil,1924,Baghdad,2003,Baghdad,male
32.6475314,54.5643516,Iran,FarmanFarmaian,Monir,1924,Qazvin,2019,Tehran,female
26.2540493,29.2675469,Egypt,Gazzar,Abdel Hady El,1925,Alexandria,1966,Cairo,male
33.8750629,35.843409,Lebanon,Adnan,Etel,1925,Beirut,2021,Paris,female
26.2540493,29.2675469,Egypt,Sirry,Gazbia,1925,Cairo,2021,Cairo,female
