Index	sancho	rocinante	anselmo	quijote	luscinda	lotario	fernando	dulcinea	dorotea	cardenio	camila
1	0.0000646	0.0000000	0.0001184	0.0005276	0.0000000	0.0000000	0.0000000	0.0000592	0.0000000	0.0000000	0.0000000
2	0.0003822	0.0000000	0.0001023	0.0005814	0.0000000	0.0000000	0.0000000	0.0000646	0.0000000	0.0000000	0.0000000
3	0.0010013	0.0000000	0.0001561	0.0007806	0.0000000	0.0000000	0.0000000	0.0000269	0.0000000	0.0000000	0.0000000
4	0.0006191	0.0000000	0.0000754	0.0006783	0.0000861	0.0000000	0.0000646	0.0000269	0.0000000	0.0000484	0.0000000
5	0.0004199	0.0000000	0.0000431	0.0002638	0.0001615	0.0000000	0.0001992	0.0001507	0.0000269	0.0000969	0.0000000
6	0.0004307	0.0001077	0.0000215	0.0004899	0.0000700	0.0001400	0.0000969	0.0000915	0.0002046	0.0001507	0.0000377
7	0.0000592	0.0006083	0.0000000	0.0000592	0.0000807	0.0006245	0.0000915	0.0000000	0.0001077	0.0001077	0.0007698
8	0.0000700	0.0000000	0.0000000	0.0001292	0.0000969	0.0000000	0.0001130	0.0000000	0.0001184	0.0000592	0.0000000
9	0.0002099	0.0000000	0.0000646	0.0004953	0.0000269	0.0000000	0.0001292	0.0000108	0.0001453	0.0000754	0.0000000
10	0.0003714	0.0000269	0.0001184	0.0005114	0.0000108	0.0000000	0.0000269	0.0000377	0.0000054	0.0000108	0.0000000
